name,slug,value,date_of_information,ranking,region
"Monaco","monaco","55.4","2020",1,"Europe"
"Japan","japan","48.6","2020",2,"East and Southeast Asia"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","48.5","2020",3,"North America"
"Germany","germany","47.8","2020",4,"Europe"
"Italy","italy","46.5","2020",5,"Europe"
"Andorra","andorra","46.2","2020",6,"Europe"
"Hong Kong","hong-kong","45.6","2020",7,"East and Southeast Asia"
"Saint Barthelemy","saint-barthelemy","45.6","2020",8,"Central America and the Caribbean"
"Greece","greece","45.3","2020",9,"Europe"
"San Marino","san-marino","45.2","2020",10,"Europe"
"Slovenia","slovenia","44.9","2020",11,"Europe"
"Isle of Man","isle-of-man","44.6","2020",12,"Europe"
"Portugal","portugal","44.6","2020",13,"Europe"
"Austria","austria","44.5","2020",14,"Europe"
"Lithuania","lithuania","44.5","2020",15,"Europe"
"Latvia","latvia","44.4","2020",16,"Europe"
"Guernsey","guernsey","44.3","2020",17,"Europe"
"Spain","spain","43.9","2020",18,"Europe"
"Croatia","croatia","43.9","2020",19,"Europe"
"Estonia","estonia","43.7","2020",20,"Europe"
"Bulgaria","bulgaria","43.7","2020",21,"Europe"
"Liechtenstein","liechtenstein","43.7","2020",22,"Europe"
"Hungary","hungary","43.6","2020",23,"Europe"
"Puerto Rico","puerto-rico","43.6","2020",24,"Central America and the Caribbean"
"Bermuda","bermuda","43.6","2020",25,"North America"
"Serbia","serbia","43.4","2020",26,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","43.3","2020",27,"Europe"
"Czechia","czechia","43.3","2020",28,"Europe"
"Korea, South","korea-south","43.2","2020",29,"East and Southeast Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","43.2","2020",30,"Africa"
"Finland","finland","42.8","2020",31,"Europe"
"Netherlands","netherlands","42.8","2020",32,"Europe"
"Switzerland","switzerland","42.7","2020",33,"Europe"
"Romania","romania","42.5","2020",34,"Europe"
"Malta","malta","42.3","2020",35,"Europe"
"Taiwan","taiwan","42.3","2020",36,"East and Southeast Asia"
"Cuba","cuba","42.1","2020",37,"Central America and the Caribbean"
"Denmark","denmark","42","2020",38,"Europe"
"Poland","poland","41.9","2020",39,"Europe"
"Virgin Islands","virgin-islands","41.8","2020",40,"Central America and the Caribbean"
"Canada","canada","41.8","2020",41,"North America"
"Slovakia","slovakia","41.8","2020",42,"Europe"
"France","france","41.7","2020",43,"Europe"
"Belgium","belgium","41.6","2020",44,"Europe"
"Ukraine","ukraine","41.2","2020",45,"Europe"
"Sweden","sweden","41.1","2020",46,"Europe"
"Sint Maarten","sint-maarten","41.1","2020",47,"Central America and the Caribbean"
"Belarus","belarus","40.9","2020",48,"Europe"
"Macau","macau","40.8","2020",49,"East and Southeast Asia"
"United Kingdom","united-kingdom","40.6","2020",50,"Europe"
"Cayman Islands","cayman-islands","40.5","2020",51,"Central America and the Caribbean"
"Russia","russia","40.3","2020",52,"Central Asia"
"Aruba","aruba","39.9","2020",53,"Central America and the Caribbean"
"Montenegro","montenegro","39.6","2020",54,"Europe"
"Barbados","barbados","39.5","2020",55,"Central America and the Caribbean"
"Norway","norway","39.5","2020",56,"Europe"
"Luxembourg","luxembourg","39.5","2020",57,"Europe"
"Thailand","thailand","39","2020",58,"East and Southeast Asia"
"North Macedonia","north-macedonia","39","2020",59,"Europe"
"Georgia","georgia","38.6","2020",60,"Middle East"
"United States","united-states","38.5","2020",61,"North America"
"China","china","38.4","2020",62,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","38.4","2020",63,"Middle East"
"Cook Islands","cook-islands","38.3","2020",64,"Australia and Oceania"
"Cyprus","cyprus","37.9","2020",65,"Europe"
"Ireland","ireland","37.8","2020",66,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","37.8","2020",67,"Central America and the Caribbean"
"Moldova","moldova","37.7","2020",68,"Europe"
"Jersey","jersey","37.5","2020",69,"Europe"
"Australia","australia","37.5","2020",70,"Australia and Oceania"
"Faroe Islands","faroe-islands","37.2","2020",71,"Europe"
"New Zealand","new-zealand","37.2","2020",72,"Australia and Oceania"
"British Virgin Islands","british-virgin-islands","37.2","2020",73,"Central America and the Caribbean"
"Iceland","iceland","37.1","2020",74,"Europe"
"Saint Lucia","saint-lucia","36.9","2020",75,"Central America and the Caribbean"
"Seychelles","seychelles","36.8","2020",76,"Africa"
"Curacao","curacao","36.7","2020",77,"Central America and the Caribbean"
"Armenia","armenia","36.6","2020",78,"Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","36.5","2020",79,"Central America and the Caribbean"
"Mauritius","mauritius","36.3","2020",80,"Africa"
"Anguilla","anguilla","35.7","2020",81,"Central America and the Caribbean"
"Singapore","singapore","35.6","2020",82,"East and Southeast Asia"
"Gibraltar","gibraltar","35.5","2020",83,"Europe"
"Uruguay","uruguay","35.5","2020",84,"South America"
"Chile","chile","35.5","2020",85,"South America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","35.3","2020",86,"Central America and the Caribbean"
"Dominica","dominica","34.9","2020",87,"Central America and the Caribbean"
"Montserrat","montserrat","34.8","2020",88,"Central America and the Caribbean"
"Korea, North","korea-north","34.6","2020",89,"East and Southeast Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","34.6","2020",90,"Central America and the Caribbean"
"Albania","albania","34.3","2020",91,"Europe"
"Greenland","greenland","34.3","2020",92,"North America"
"Wallis and Futuna","wallis-and-futuna","34","2020",93,"Australia and Oceania"
"Palau","palau","33.9","2020",94,"Australia and Oceania"
"Lebanon","lebanon","33.7","2020",95,"Middle East"
"Sri Lanka","sri-lanka","33.7","2020",96,"South Asia"
"Qatar","qatar","33.7","2020",97,"Middle East"
"Grenada","grenada","33.3","2020",98,"Central America and the Caribbean"
"French Polynesia","french-polynesia","33.3","2020",99,"Australia and Oceania"
"Saint Martin","saint-martin","33.3","2020",100,"Central America and the Caribbean"
"Brazil","brazil","33.2","2020",101,"South America"
"New Caledonia","new-caledonia","32.9","2020",102,"Australia and Oceania"
"Bahrain","bahrain","32.9","2020",103,"Middle East"
"Bahamas, The","bahamas-the","32.8","2020",104,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","32.8","2020",105,"Australia and Oceania"
"Tunisia","tunisia","32.7","2020",106,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","32.7","2020",107,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","32.6","2020",108,"Middle East"
"Costa Rica","costa-rica","32.6","2020",109,"Central America and the Caribbean"
"Argentina","argentina","32.4","2020",110,"South America"
"Turkey (Turkiye)","turkey-turkiye","32.2","2020",111,"Middle East"
"Vietnam","vietnam","31.9","2020",112,"East and Southeast Asia"
"Iran","iran","31.7","2020",113,"Middle East"
"Kazakhstan","kazakhstan","31.6","2020",114,"Central Asia"
"Colombia","colombia","31.2","2020",115,"South America"
"Brunei","brunei","31.1","2020",116,"East and Southeast Asia"
"Indonesia","indonesia","31.1","2020",117,"East and Southeast Asia"
"Suriname","suriname","31","2020",118,"South America"
"Saudi Arabia","saudi-arabia","30.8","2020",119,"Middle East"
"Kosovo","kosovo","30.5","2020",120,"Europe"
"Israel","israel","30.4","2020",121,"Middle East"
"Uzbekistan","uzbekistan","30.1","2020",122,"Central Asia"
"Panama","panama","30.1","2020",123,"Central America and the Caribbean"
"Venezuela","venezuela","30","2020",124,"South America"
"Fiji","fiji","29.9","2020",125,"Australia and Oceania"
"Mongolia","mongolia","29.8","2020",126,"East and Southeast Asia"
"Kuwait","kuwait","29.7","2020",127,"Middle East"
"Paraguay","paraguay","29.7","2020",128,"South America"
"Maldives","maldives","29.5","2020",129,"South Asia"
"Guam","guam","29.4","2020",130,"Australia and Oceania"
"Jamaica","jamaica","29.4","2020",131,"Central America and the Caribbean"
"Mexico","mexico","29.3","2020",132,"North America"
"Malaysia","malaysia","29.2","2020",133,"East and Southeast Asia"
"Burma","burma","29.2","2020",134,"East and Southeast Asia"
"Turkmenistan","turkmenistan","29.2","2020",135,"Central Asia"
"Bhutan","bhutan","29.1","2020",136,"South Asia"
"Peru","peru","29.1","2020",137,"South America"
"Morocco","morocco","29.1","2020",138,"Africa"
"Algeria","algeria","28.9","2020",139,"Africa"
"Ecuador","ecuador","28.8","2020",140,"South America"
"India","india","28.7","2020",141,"South Asia"
"South Africa","south-africa","28","2020",142,"Africa"
"Dominican Republic","dominican-republic","27.9","2020",143,"Central America and the Caribbean"
"Bangladesh","bangladesh","27.9","2020",144,"South Asia"
"El Salvador","el-salvador","27.7","2020",145,"Central America and the Caribbean"
"Guyana","guyana","27.5","2020",146,"South America"
"Nicaragua","nicaragua","27.3","2020",147,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","27.3","2020",148,"Central Asia"
"American Samoa","american-samoa","27.2","2020",149,"Australia and Oceania"
"Nauru","nauru","27","2020",150,"Australia and Oceania"
"Cabo Verde","cabo-verde","26.8","2020",151,"Africa"
"Tuvalu","tuvalu","26.6","2020",152,"Australia and Oceania"
"Cambodia","cambodia","26.4","2020",153,"East and Southeast Asia"
"Micronesia, Federated States of","micronesia-federated-states-of","26.3","2020",154,"Australia and Oceania"
"Oman","oman","26.2","2020",155,"Middle East"
"Libya","libya","25.8","2020",156,"Africa"
"Kiribati","kiribati","25.7","2020",157,"Australia and Oceania"
"Botswana","botswana","25.7","2020",158,"Africa"
"Samoa","samoa","25.6","2020",159,"Australia and Oceania"
"Nepal","nepal","25.3","2020",160,"South Asia"
"Tajikistan","tajikistan","25.3","2020",161,"Central Asia"
"Bolivia","bolivia","25.3","2020",162,"South America"
"Djibouti","djibouti","24.9","2020",163,"Africa"
"Lesotho","lesotho","24.7","2020",164,"Africa"
"Honduras","honduras","24.4","2020",165,"Central America and the Caribbean"
"Tonga","tonga","24.1","2020",166,"Australia and Oceania"
"Philippines","philippines","24.1","2020",167,"East and Southeast Asia"
"Egypt","egypt","24.1","2020",168,"Africa"
"Haiti","haiti","24.1","2020",169,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","24","2020",170,"East and Southeast Asia"
"Laos","laos","24","2020",171,"East and Southeast Asia"
"Belize","belize","23.9","2020",172,"Central America and the Caribbean"
"Marshall Islands","marshall-islands","23.8","2020",173,"Australia and Oceania"
"Eswatini","eswatini","23.7","2020",174,"Africa"
"Solomon Islands","solomon-islands","23.5","2020",175,"Australia and Oceania"
"Jordan","jordan","23.5","2020",176,"Middle East"
"Syria","syria","23.5","2020",177,"Middle East"
"Guatemala","guatemala","23.2","2020",178,"Central America and the Caribbean"
"Vanuatu","vanuatu","23","2020",179,"Australia and Oceania"
"Pakistan","pakistan","22","2020",180,"South Asia"
"West Bank","west-bank","21.9","2020",181,"Middle East"
"Namibia","namibia","21.8","2020",182,"Africa"
"Gambia, The","gambia-the","21.8","2020",183,"Africa"
"Ghana","ghana","21.4","2020",184,"Africa"
"Iraq","iraq","21.2","2020",185,"Middle East"
"Mauritania","mauritania","21","2020",186,"Africa"
"Gabon","gabon","21","2020",187,"Africa"
"Comoros","comoros","20.9","2020",188,"Africa"
"Zimbabwe","zimbabwe","20.5","2020",189,"Africa"
"Eritrea","eritrea","20.3","2020",190,"Africa"
"Cote d'Ivoire","cote-divoire","20.3","2020",191,"Africa"
"Madagascar","madagascar","20.3","2020",192,"Africa"
"Equatorial Guinea","equatorial-guinea","20.3","2020",193,"Africa"
"Togo","togo","20","2020",194,"Africa"
"Kenya","kenya","20","2020",195,"Africa"
"Central African Republic","central-african-republic","20","2020",196,"Africa"
"Yemen","yemen","19.8","2018",197,"Middle East"
"Ethiopia","ethiopia","19.8","2020",198,"Africa"
"Rwanda","rwanda","19.7","2020",199,"Africa"
"Timor-Leste","timor-leste","19.6","2020",200,"East and Southeast Asia"
"Afghanistan","afghanistan","19.5","2020",201,"South Asia"
"Congo, Republic of the","congo-republic-of-the","19.5","2020",202,"Africa"
"Senegal","senegal","19.4","2020",203,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","19.3","2020",204,"Africa"
"Guinea","guinea","19.1","2020",205,"Africa"
"Sierra Leone","sierra-leone","19.1","2020",206,"Africa"
"Nigeria","nigeria","18.6","2020",207,"Africa"
"South Sudan","south-sudan","18.6","2020",208,"Africa"
"Somalia","somalia","18.5","2020",209,"Africa"
"Cameroon","cameroon","18.5","2020",210,"Africa"
"Sudan","sudan","18.3","2020",211,"Africa"
"Tanzania","tanzania","18.2","2020",212,"Africa"
"Liberia","liberia","18","2020",213,"Africa"
"Guinea-Bissau","guinea-bissau","18","2020",214,"Africa"
"Gaza Strip","gaza-strip","18","2020",215,"Middle East"
"Burkina Faso","burkina-faso","17.9","2020",216,"Africa"
"Burundi","burundi","17.7","2020",217,"Africa"
"Benin","benin","17","2020",218,"Africa"
"Mozambique","mozambique","17","2020",219,"Africa"
"Zambia","zambia","16.9","2020",220,"Africa"
"Malawi","malawi","16.8","2020",221,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","16.7","2020",222,"Africa"
"Chad","chad","16.1","2020",223,"Africa"
"Mali","mali","16","2020",224,"Africa"
"Angola","angola","15.9","2020",225,"Africa"
"Uganda","uganda","15.7","2020",226,"Africa"
"Niger","niger","14.8","2020",227,"Africa"